oil	kos	cor	pvalue	p.adjust	abs_cor	cor2
¦Â.Pinene	K13459	0.613263136192846	3.58424584901702e-06	0.000286739667921361	0.613263136192846	1
¦Â.Pinene	K07478	0.503976778795873	0.000260251359139787	0.0041640217462366	0.503976778795873	1
¦Â.Pinene	K21867	-0.380303494071431	0.00766744553966659	0.0359655985682666	0.380303494071431	-1
¦Â.Pinene	K20725	0.520589608087217	0.000148780312772171	0.00308581389453391	0.520589608087217	1
¦Â.Pinene	K10863	0.498330588448489	0.000312705547148813	0.0045596113001622	0.498330588448489	1
¦Â.Pinene	K05391	-0.472108377508232	0.000704623191337657	0.00786567847259699	0.472108377508232	-1
¦Â.Pinene	K20181	0.381932202825484	0.00738994184648082	0.0356755813278384	0.381932202825484	1
¦Â.Pinene	K20599	0.443714554895904	0.00158363361998763	0.0141604718791143	0.443714554895904	1
¦Â.Pinene	K14497	-0.36314776186207	0.011183777035704	0.0453834430434365	0.36314776186207	-1
¦Â.Pinene	K07441	-0.429816240194649	0.00229692046874496	0.0169246771381208	0.429816240194649	-1
¦Â.Pinene	K14494	0.443497393728697	0.00159305308640036	0.0141604718791143	0.443497393728697	1
¦Â.Pinene	K01772	0.379434849402603	0.00781910602397915	0.036006367093331	0.379434849402603	1
¦Â.Pinene	K20716	0.371291305632336	0.00937193760722635	0.0410022270316153	0.371291305632336	1
¦Â.Pinene	K04421	-0.442520168476265	0.00163606050697791	0.0143155294360567	0.442520168476265	-1
¦Â.Pinene	K13448	0.454681193839862	0.00116782120123132	0.0116782120123132	0.454681193839862	1
¦Â.Pinene	K20714	0.477211664937599	0.00060461838067842	0.00705388110791489	0.477211664937599	1
¦Â.Pinene	K11649	0.509134356517042	0.000219447237085647	0.0040731373530832	0.509134356517042	1
¦Â.Pinene	K14495	-0.44176010439104	0.00167022154875337	0.0143896010354136	0.44176010439104	-1
¦Â.Pinene	K14489	-0.494964590356779	0.000348354180349935	0.00475800831697472	0.494964590356779	-1
¦Â.Pinene	K18834	0.561958810440169	3.23523529280662e-05	0.00106572456704218	0.561958810440169	1
¦Â.Pinene	K02183	0.583892088328086	1.32200998161032e-05	0.000706673149467893	0.583892088328086	1
¦Â.Pinene	K20506	0.364776470616123	0.0107991038627207	0.0450158680488097	0.364776470616123	1
¦Â.Pinene	K14504	0.508320002140015	0.000225477246331391	0.0040731373530832	0.508320002140015	1
¦Â.Pinene	K12126	-0.436168204335457	0.0019416712649764	0.0150790202983631	0.436168204335457	-1
¦Â.Pinene	K20536	0.485952401917684	0.000462595655000794	0.00575674592889876	0.485952401917684	1
¦Â.Myrcene	K19613	0.444197158192631	0.00156287772689451	0.0141604718791143	0.444197158192631	1
¦Â.Myrcene	K15078	0.380848987153794	0.00757351400640554	0.0359655985682666	0.380848987153794	1
¦Â.Myrcene	K13428	0.453642386779398	0.00120252612312801	0.0118142917359945	0.453642386779398	1
¦Â.Myrcene	K13457	0.549723160334446	5.18834562121247e-05	0.00138355883232332	0.549723160334446	1
¦Â.Myrcene	K01187	0.36418412981967	0.0109376679168103	0.0450374561280425	0.36418412981967	1
¦Â.Myrcene	K07478	0.557702750002577	3.82094941726918e-05	0.00112617456508986	0.557702750002577	1
¦Â.Myrcene	K20725	0.504885466008757	0.000252597783519081	0.0041640217462366	0.504885466008757	1
¦Â.Myrcene	K10863	0.45722505969162	0.00108658306840947	0.0111147588690058	0.45722505969162	1
¦Â.Myrcene	K05391	-0.399848010173154	0.00486692023394282	0.0275300538485654	0.399848010173154	-1
¦Â.Myrcene	K20181	0.374226470558474	0.0087840821324019	0.0387329605838194	0.374226470558474	1
